48                                                                         
===========================================================================
                                                                           
                  KPP Standalone Atmospheric Chemical State                
File Description:                                                          
This file contains model output of the atmospheric chemical state          
as simulated by the GEOS-Chem chemistry module in a 3D setting.            
Each grid cell represents the chemical state of an individual location,    
suitable for input into a separate KPP Standalone program which will       
replicate the chemical evolution of that grid cell for mechanism analysis. 
Note that the KPP Standalone will only use concentrations, rate constants, 
and KPP-specific fields. All other fields are for reference. The first line
contains the number of lines in this header. If wanting to use this output 
for other analysis, a Python class to read these fields is available by    
request, contact Obin Sturm (psturm@usc.edu).                              
                                                                           
Generated by the GEOS-Chem Model                                           
       (https://geos-chem.org/)                                            
Using the KPP Standalone Interface                                         
github.com/GEOS-ESM/geos-chem/tree/feature/psturm/kpp_standalone_interface 
     With contributions from:                                              
        Obin Sturm (psturm@usc.edu)                                        
        Christoph Keller                                                   
        Michael Long                                                       
        Sam Silva                                                          
                                                                           
Meteorological and general grid cell metadata    
Location:                                        IndianOcean
Timestamp:                                       2020/10/06 20:45
Longitude (degrees):                                 87.1845
Latitude (degrees):                                  23.0208
GEOS-Chem Vertical Level:                             1
Pressure (hPa):                                     987.7746
Temperature (K):                                      299.17
Dry air density (molec/cm3):                      0.2344E+20
Water vapor mixing ratio (vol H2O/vol dry air):   0.3526E-01
Cloud fraction:                                   0.9752E+00
Cosine of solar zenith angle:                    -0.7347E+00
KPP Integrator-specific parameters               
Initial KPP H val (seconds):                        336.3642
Final KPP H val (seconds):                          344.2565
Chemistry operator timestep (seconds):              900.0000
Number of internal timesteps:                        18
CSV data of full chemical state, including species concentrations,    
rate constants (R) and instantaneous reaction rates (A).              
All concentration units are in molecules/cc and rates in molec/cc/s.  
                                                                           
===========================================================================
Name,   Value                                                              
ACET,   0.2093333728659288E+07
ACTA,   0.2287358166777488E+07
AERI,   0.8869419289757663E+07
ALD2,   0.4423343405695906E+09
ALK4,   0.2449941045424729E+10
AONITA,   0.0000000000000000E+00
AROMP4,   0.6495987763920804E+16
AROMP5,   0.2898868802149290E+11
ATOOH,   0.1631520144831817E+08
BALD,   0.6972917933663229E+06
BCPI,   0.7833736946407884E+11
BCPO,   0.1654124210977521E+13
BENZ,   0.8524396676629724E+06
BENZP,   0.0000000000000000E+00
Br,   0.0000000000000000E+00
Br2,   0.0000000000000000E+00
BrCl,   0.0000000000000000E+00
BrNO2,   0.0000000000000000E+00
BrNO3,   0.0000000000000000E+00
BrO,   0.1246113095398145E+12
